# pTt1,etat1,phit1,Et1,pTt2,etat2,phit2,Et2,pTh,etah,phih,Eh,ttmass,ttHmass,HT,dphi_tt,,HTb,tmass,Hmass
150.925,-1.52165,2.34293,403.764,91.4131,-1.6577,6.18592,310.415,57.3634,-0.663647,0.968949,143.143,431.419,593.122,798.887,2.4402,,318.631,178.678,124.598
146.323,-0.248576,4.35866,223.019,95.7234,-0.403254,0.834715,184.584,54.0458,0.963839,5.85963,155.641,394.613,552.452,1035.91,2.75924,,326.345,164.246,132.809
111.327,0.678628,3.00154,216.721,139.77,1.26831,0.199455,327.156,129.431,0.866722,3.06213,217.715,443.8,612.959,358.801,2.80208,,319.028,167.137,120.743
198.313,0.411276,2.9388,273.462,259.218,-1.15267,5.79368,483.21,170.248,0.737768,3.47511,245.292,695.032,973.15,641.812,2.85488,,346.947,168.574,111.037
159.643,-2.03243,3.34811,643.715,125.13,-1.4907,1.03154,336.162,74.0059,-1.93812,1.55533,289.784,449.688,583.343,576.13,2.31657,,225.336,174.17,123.1
278.581,-1.3882,1.47453,615.71,158.838,0.542248,5.82211,249.176,114.527,-1.37371,1.35826,272.076,699.448,859.169,1048.49,1.9356,,348.554,165.743,126.867
458.491,0.987612,4.44858,719.618,331.878,1.73112,2.23537,982.554,337.163,-0.806244,6.27599,472.752,831.99,1845.8,1443.4,2.21322,,640.976,163.203,135.85
63.5444,1.82542,0.724058,264.485,154.207,0.728784,0.0993461,373.374,163.016,1.65417,0.652253,457.79,513.958,735.353,984.714,0.624712,,316.304,170.398,120.037
210.331,-0.78992,1.79347,412.431,318.17,-0.599331,4.93894,411.667,107.586,-0.221054,5.54311,168.187,719.926,879.726,592.31,3.13772,,321.494,303.339,127.033
308.75,-0.102433,5.80054,349.016,100.994,2.04502,2.1168,431.717,160.727,0.261185,5.06729,209.13,658.384,839.256,675.659,2.59945,,435.035,159.63,126.883
60.3994,1.44215,4.66545,206.483,223.055,0.898601,3.93719,366.462,77.6941,0.648706,0.398848,150.235,364.513,562.975,750.542,0.728261,,295.711,156.344,116.691
143.664,0.993406,1.33396,277.727,355.022,0.655936,4.48981,469.89,132.18,0.376797,1.3692,189.341,583.182,807.655,638.702,3.12733,,356.723,168.755,125.612
91.7371,-1.22069,0.782706,215.292,203.349,-1.2231,1.13925,404.805,90.4347,-1.46581,1.33394,243.767,300.84,435.709,726.848,0.35654,,510.008,133.372,129.889
32.2458,-1.13054,1.55763,155.705,318.432,0.135386,4.44481,362.309,149.477,-0.256199,3.86183,207.484,431.014,588.901,1229.3,2.88718,,648.764,145.614,138.59
62.9484,-0.595049,3.08173,173.045,56.9115,2.2534,4.36079,320.936,94.2227,-0.870412,0.604363,188.763,427.408,669.146,310.961,1.27906,,222.874,156.222,134.713
96.0368,-2.24442,2.57801,489.27,221.142,-1.16466,4.16556,429.171,254.449,-1.46931,3.60437,597.998,443.366,623.599,573.107,1.58755,,486.449,171.739,136.452
58.9405,0.171737,4.43712,166.302,102.543,0.840695,1.30196,211.882,53.9091,0.85708,4.4171,154.278,360.131,508.07,270.941,3.13516,,270.941,155.174,134.848
256.098,-0.960132,3.70304,415.611,79.9205,-1.30637,1.79078,231.777,178.868,-1.06274,4.04908,314.285,427.321,586.375,877.789,1.91226,,476.946,160.208,121.739
85.3199,1.3155,3.21898,243.373,106.623,-0.53839,3.22194,213.325,268.702,0.749442,2.77511,374.466,405.102,627.534,990.276,0.00295935,,507.849,173.741,138.881
259.933,-1.43339,2.00953,620.141,221.831,-0.578861,5.0392,311.068,279.98,-0.200667,5.31247,308.786,665.538,991.14,668.891,3.02967,,517.066,229.944,117.308
103.785,2.94148,1.36379,1001.02,227.511,0.682005,5.28589,333.597,208.117,-1.86793,2.59736,701.122,659.412,1975.5,725.139,2.36109,,511.562,173.988,125.287
278.903,0.938245,3.91568,448.401,46.9906,-2.02406,1.27431,251.22,151.273,-1.69779,0.496173,447.292,645.236,1110.16,693.783,2.64137,,378.234,179.43,133.315
365.385,1.16554,4.47591,732.889,171.823,0.61831,2.16047,521.33,464.871,-0.616859,1.83673,569.433,1040.54,1750.56,1118.83,2.31544,,577.855,351.735,122.244
390.028,-0.0184804,1.07451,422.997,415.536,-1.37329,4.13906,888.903,81.6637,-0.0963311,1.27203,139.848,1057.81,1220.4,1048.2,3.06455,,537.416,163.563,113.254
425.229,0.0772703,1.81754,458.492,95.0273,-1.60699,5.64059,309.943,439.656,-0.377164,4.622,487.931,652.342,1197.64,984.061,2.46014,,575.986,168.264,126.303
100.808,-0.721519,0.729293,214.355,209.34,-1.5796,3.96895,560.504,213.68,-1.4305,3.06852,488.338,518.182,734,806.49,3.04352,,553.254,171.789,124.391
89.9562,-0.535905,3.56747,230.101,113.08,0.666227,0.884921,221.492,125.493,-0.459486,2.78689,177.642,447.622,608.177,374.013,2.68255,,302.643,205.668,110.646
294.246,-0.0834035,1.7574,344.219,208.566,0.336034,4.52392,277.631,80.9108,0.764293,3.77938,167.426,607.149,763.727,601.334,2.76652,,424.53,176.926,129.829
103.914,-2.90986,2.12188,967.562,354.358,-1.65326,5.16036,989.43,153.587,-0.712939,2.17027,230.611,609.953,962.936,601.65,3.03848,,412.909,146.15,124.21
151.689,-1.77475,2.50529,536.811,194.388,-0.78198,5.95258,309.521,71.7718,0.484139,3.29657,140.115,590.504,807.427,643.517,2.8359,,331.198,276.289,114.788
114.881,-0.387858,6.1858,198.821,114.394,1.60927,1.20187,337.656,75.83,1.20982,0.764489,183.011,449.576,576.846,858.919,1.29925,,319.466,155.708,119.705
162.49,-0.448655,1.72706,247.016,218.448,0.466997,5.04177,296.171,188.156,-1.00481,1.90855,311.484,538.457,822.199,477.057,2.96848,,309.725,170.097,110.022
103.441,1.74655,2.50512,340.875,168.85,2.08063,5.65215,707.747,86.242,2.55367,5.11841,572.454,432.023,586.466,321.29,3.13616,,229.506,150.962,129.38
253.61,-0.225455,4.08101,314.055,61.8367,-1.50066,5.72234,217.511,309.752,-2.13656,1.28085,1334.8,425.145,1131.6,632.88,1.64133,,552.366,176.033,111.709
256.331,1.52189,0.681165,638.543,36.2323,-1.33166,2.645,213.944,126.072,1.79093,0.551478,404.931,649.234,837.579,738.948,1.96383,,394.457,171.474,114.46
24.4062,3.36217,5.16975,386.6,101.857,0.208412,4.35347,202.515,123.811,-0.372163,5.31066,191.493,439.912,673.003,563.288,0.816274,,274.468,158.749,138.266
144.946,-1.08946,0.551931,295.579,33.3517,-2.3116,3.31275,230.965,136.063,-0.161967,4.28094,176.871,369.015,588.7,531.553,2.76082,,387.263,172.783,110.817
106.906,0.139959,5.06944,200.715,115.583,1.39351,2.55435,301.296,63.7045,-0.272913,4.00088,144.421,439.001,595.022,404.881,2.51509,,272.836,169.211,128.411
41.3085,1.61338,1.19743,190.123,148.921,-1.70584,4.58815,449.054,259.245,-0.295297,1.62685,298.478,555.375,846.297,872.449,2.89247,,564.115,156.613,125.889
324.318,-1.09215,0.773856,563.285,201.668,-1.02673,3.30793,355.938,368.527,-0.7298,3.9902,484.652,593.109,991.434,702.34,2.53408,,529.87,167.681,113.802
194.735,1.20909,3.10314,391.695,312.48,0.211322,5.77605,362.501,139.562,1.12184,2.34992,272.054,639.965,861.692,582.398,2.67291,,360.659,164.918,133.605
310.324,1.31139,0.0832302,641.312,286.444,0.969806,3.53612,464.582,282.188,1.07728,3.51587,481.855,691.813,969.891,624.043,2.83029,,457.322,172.541,135.56
52.2004,-1.15553,2.47402,210.38,129.743,0.177258,6.16187,222.749,267.826,-0.557371,4.11143,339.759,420.666,712.76,1174.28,2.59534,,504.249,189.63,137.898
54.7877,-1.45053,2.86915,204.267,237.573,0.656043,0.321705,337.646,85.2891,-0.235361,2.78337,143.809,502.56,667.781,550.47,2.54745,,347.503,162.881,114.001
141.154,1.33564,3.66386,331.395,115.461,1.18156,5.98349,256.421,95.036,0.796023,5.92734,186.266,397.294,565.819,613.085,2.31963,,435.86,165.818,136.471
183.385,-2.232,2.0008,879.936,107.944,-0.516755,3.80224,204.866,76.439,-1.37731,1.40875,198.361,570.389,708.331,608.916,1.80145,,392.008,165.259,115.661
192.348,-1.97909,5.25014,729.692,130.469,-0.41632,2.82687,217.065,164.37,-0.441857,2.97073,212.731,578.518,798.752,646.38,2.42327,,384.719,171.642,112.294
167.602,2.51345,5.82528,1059.46,194.191,1.78937,2.4725,628.282,168.468,2.33922,5.46469,889.879,555.86,762.224,487.275,2.9304,,276.056,194.159,118.984
274.608,-0.434027,3.12476,348.233,213.29,1.40693,1.57912,492.262,144.114,1.30957,1.42285,317.853,707.504,928.301,815.362,1.54564,,384.933,175.318,137.88
56.8441,1.43726,0.316049,210.257,247.53,-0.537925,1.07268,330.886,93.8346,-0.176292,1.39819,160.508,455.14,589.607,770.358,0.756629,,259.357,168.032,129.157
393.328,-0.214335,3.99804,439.222,236.099,0.284861,2.09712,280.604,123.815,-1.3394,5.52278,280.293,606.32,911.155,748.563,1.90092,,494.879,176.047,121.673
139.614,-2.56138,1.6661,921.056,207.098,-0.78944,5.99487,323.774,180.483,-1.25264,0.58886,366.15,585.43,757.403,1917.23,1.95442,,1058,144.534,131.836
34.1397,-1.09713,5.02859,172.855,76.8156,-0.297952,0.885736,181.829,75.767,-0.226355,0.804126,150.8,341.831,478.509,502.521,2.14033,,350.269,163.245,129.232
22.9392,-2.57336,3.51568,234.967,118.107,0.462549,1.64546,210.047,94.1388,-1.88771,5.01246,345.439,420.157,683.464,480.114,1.87022,,369.11,179.823,134.957
163.394,0.907775,1.98473,290.761,100.149,-0.000309936,3.10979,201.696,278.488,0.913522,5.74483,424.983,403.657,789.858,676.687,1.12506,,568.471,170.577,134.918
131.432,-0.853227,3.34016,211.244,271.83,-0.69391,5.49848,383.864,195.145,1.47597,1.55674,465.8,439.82,1055.99,524.525,2.15832,,424.258,106.819,123.224
90.3488,-1.48431,0.69366,272.39,56.8107,-2.52384,4.90778,465.303,157.324,-0.21047,1.7147,207.808,494.797,731.872,434.84,2.06906,,400.862,174.032,131.608
